description,category
zumba class,Healthcare
adani electricity payment,Bills
freelance payment,Income
ac coach ticket payment,Transport
antacid medicine payment,Healthcare
idli dosa restaurant payment,Food
msedcl payment,Bills
brunch restaurant payment,Food
indrive ride,Transport
medical store payment,Healthcare
metformin diabetes,Healthcare
painting supplies payment,Entertainment
star health payment,Healthcare
amazon purchase,Shopping
dress shopping payment,Shopping
eye checkup,Healthcare
uniqlo shirt payment,Shopping
wendys burger,Food
butter chicken,Food
freelancer earning payment,Income
headphones buy payment,Shopping
airtel postpaid payment,Bills
clothing store,Shopping
contact lens,Healthcare
earphones purchase payment,Shopping
gst payment payment,Bills
chemist shop,Healthcare
covid test,Healthcare
ultrasound payment,Healthcare
gym membership,Healthcare
ixigo ticket,Transport
account fees payment,Others
dimsum payment,Food
gym membership payment,Healthcare
weekend trip payment,Entertainment
jewelry store,Shopping
late fee payment,Others
escape room,Entertainment
car wash payment,Transport
holi expenses payment,Others
bluesmart cab payment,Transport
airtel recharge payment,Bills
anytime fitness,Healthcare
bike rental,Transport
gift shopping,Shopping
bookmyshow movie payment,Entertainment
kabaddi match payment,Entertainment
electrician fees payment,Others
cat food,Others
vi recharge,Bills
cook salary,Others
amazon purchase payment,Shopping
mri scan payment,Healthcare
body lotion,Shopping
cinepolis payment,Entertainment
westside clothes payment,Shopping
pantoprazole tablet,Healthcare
akasa air,Transport
diet food delivery,Food
hp petrol pump,Transport
thyrocare test,Healthcare
diesel fuel,Transport
meru cab payment,Transport
dal makhani,Food
local train pass payment,Transport
parking charges payment,Transport
bwssb payment payment,Bills
pvr cinemas payment,Entertainment
kfc chicken payment,Food
pad thai payment,Food
honitus cough payment,Healthcare
celebration dinner payment,Entertainment
ipl ticket payment,Entertainment
ophthalmologist,Healthcare
broadband payment,Bills
lounge entry,Entertainment
pollution certificate payment,Transport
dog food payment,Others
car loan,Bills
makemytrip hotel,Entertainment
housing loan emi payment,Bills
mahanagar gas,Bills
rapido bike payment,Transport
cetirizine tablet payment,Healthcare
breakfast cafe,Food
consulting fees payment,Income
lassi shop payment,Food
passport fees payment,Others
goibibo stay,Entertainment
instant noodles payment,Food
dividend received,Income
apple music payment,Bills
toptal payment,Income
bookmyshow event payment,Entertainment
contract payment payment,Income
physiotherapy payment,Healthcare
jiocinema premium payment,Bills
concert tickets,Entertainment
manipal hospital payment,Healthcare
virtual reality,Entertainment
airfare booking,Transport
general payment payment,Others
travel insurance payment,Entertainment
combiflam tablet payment,Healthcare
credit card payment,Bills
water park,Entertainment
bike rental payment,Transport
fitness tracker payment,Healthcare
sugar cosmetics,Shopping
relief fund,Others
anniversary gift,Others
vodafone postpaid payment,Bills
cycle rickshaw,Transport
crypto profit,Income
kitchen items payment,Shopping
vehicle insurance,Bills
maid salary payment,Others
airport parking,Transport
ramen restaurant,Food
pet food,Others
metro card recharge payment,Transport
heel purchase,Shopping
miscellaneous payment,Others
laptop purchase payment,Shopping
virtual reality payment,Entertainment
fortis hospital,Healthcare
mobile recharge payment,Bills
uber ride payment,Transport
cup noodles payment,Food
acne treatment,Healthcare
zara purchase,Shopping
fresh juice,Food
salary credited,Income
blood test payment,Healthcare
visa fees travel,Entertainment
movie tickets payment,Entertainment
travel insurance,Entertainment
railway reservation payment,Transport
shopclues order,Shopping
oyo rooms,Entertainment
guitar purchase payment,Entertainment
wendys burger payment,Food
orthodontist braces,Healthcare
salad bar,Food
hair oil payment,Shopping
hotel booking payment,Entertainment
nykaa fashion,Shopping
tailor alterations,Others
musical instrument,Entertainment
chips snacks,Food
cricket bat payment,Entertainment
speaker purchase payment,Shopping
party expenses payment,Entertainment
ev charging payment,Transport
chai tapri payment,Food
dunkin donuts,Food
theobroma pastry payment,Food
thyrocare test payment,Healthcare
amazon cashback payment,Income
miscellaneous,Others
pet grooming payment,Others
film ticket payment,Entertainment
yoga mat payment,Entertainment
gift money received,Income
coconut water payment,Food
maybelline makeup,Shopping
bonus received,Income
highway toll,Transport
medplus store payment,Healthcare
cook salary payment,Others
playstation store,Entertainment
battlepass purchase payment,Entertainment
puncture repair,Transport
other expenses payment,Others
bowling alley,Entertainment
complete blood count,Healthcare
perfume purchase payment,Shopping
zumba class payment,Healthcare
quick ride payment,Transport
bank charges,Others
narayana health,Healthcare
amazon prime,Bills
h&m clothes payment,Shopping
essel world payment,Entertainment
veterinary bill payment,Others
concert tickets payment,Entertainment
wellness forever payment,Healthcare
floaters sandals,Shopping
biryani order,Food
camera buy,Shopping
trimmer buy,Shopping
makemytrip flight,Transport
upwork payment payment,Income
maggi noodles payment,Food
dtdc courier payment,Others
thai food restaurant,Food
phonepe cashback payment,Income
care health insurance,Healthcare
delhi metro,Transport
power bill payment,Bills
indigo airlines,Transport
oxford bookstore payment,Shopping
purple beauty payment,Shopping
hp gas,Bills
mall parking payment,Transport
sleeper ticket,Transport
dry cleaning payment,Others
hathway internet payment,Bills
spencers grocery,Food
samsung phone payment,Shopping
shatabdi ticket,Transport
ethnic wear payment,Shopping
maintenance charges payment,Bills
insulin injection,Healthcare
vehicle maintenance payment,Transport
kwality walls,Food
vehicle insurance payment,Bills
dolo 650,Healthcare
atm withdrawal,Others
diet food delivery payment,Food
tata 1mg payment,Healthcare
milk purchase,Food
comedy show,Entertainment
iphone purchase,Shopping
bcaa payment,Healthcare
pet grooming,Others
msedcl payment payment,Bills
tooth extraction,Healthcare
doctor consultation,Healthcare
lunch buffet payment,Food
home repair payment,Others
document courier payment,Others
indraprastha gas payment,Bills
theater play,Entertainment
alex cough payment,Healthcare
zomato pro,Food
paneer purchase payment,Food
wifi recharge,Bills
train ticket,Transport
air india,Transport
dr lal pathlabs payment,Healthcare
rajdhani express payment,Transport
healthkart order,Healthcare
go karting,Entertainment
office supplies,Shopping
orthodontist braces payment,Healthcare
amazon order,Shopping
star bazaar payment,Food
urine test payment,Healthcare
shell fuel payment,Transport
diesel fuel payment,Transport
certificate fees payment,Others
thyroid medicine payment,Healthcare
ophthalmologist payment,Healthcare
vegetables market payment,Food
maintenance charges,Bills
complete blood count payment,Healthcare
diwali shopping,Others
vitamin d tablet payment,Healthcare
stipend received,Income
chiropractor,Healthcare
cult fit payment,Healthcare
star health,Healthcare
halwai sweets,Food
tablet purchase,Shopping
property rent received,Income
flipkart sale,Shopping
shampoo conditioner,Shopping
airpods,Shopping
tenant payment payment,Income
speed post,Others
reliance digital,Shopping
movie tickets,Entertainment
malabar gold,Shopping
gaming zone payment,Entertainment
monthly salary,Income
savlon dettol,Healthcare
calcium tablet,Healthcare
antiseptic cream,Healthcare
momos street food,Food
game reward,Income
drinks party payment,Entertainment
plumber charges,Others
veterinary bill,Others
azithromycin course,Healthcare
health checkup payment,Healthcare
pregnancy test,Healthcare
mithai shop,Food
cult fit,Healthcare
whey protein payment,Healthcare
cough syrup payment,Healthcare
pepperfry furniture,Shopping
refund received payment,Income
specialist doctor,Healthcare
zoomcar rental,Transport
yoga class,Healthcare
wedding gift,Others
rd maturity payment,Income
tata 1mg,Healthcare
hostel fees payment,Bills
pathology lab,Healthcare
traffic fine,Others
hospital bill payment,Healthcare
flight ticket,Transport
bandage dressing payment,Healthcare
internet bill payment,Bills
credit card bill,Bills
pilates studio,Healthcare
swimming pool entry,Entertainment
scholarship credited,Income
snapdeal purchase,Shopping
society dues payment,Bills
mxplayer pro,Bills
car wash,Transport
term insurance payment,Bills
nature basket,Food
coconut water,Food
sleeper ticket payment,Transport
stitching charges,Others
monthly salary payment,Income
duronto express,Transport
indian oil payment,Transport
lpg cylinder,Bills
cricket bat,Entertainment
creatine supplement,Healthcare
perfume purchase,Shopping
meru cab,Transport
sushi bar,Food
bar bill payment,Entertainment
tv purchase payment,Shopping
blood test,Healthcare
oxford bookstore,Shopping
courier service payment,Others
smartphone buy,Shopping
bwssb payment,Bills
purple beauty,Shopping
rajdhani express,Transport
pet care payment,Others
mri scan,Healthcare
tyre change,Transport
settlement,Income
washmart payment,Others
flipkart order,Shopping
ultrasound,Healthcare
glucose powder,Healthcare
sports match ticket,Entertainment
fuel station payment,Transport
vodafone postpaid,Bills
pension received payment,Income
indane gas,Bills
delhivery charges payment,Others
bharat petroleum,Transport
goibibo flight,Transport
oyo rooms payment,Entertainment
loreal product,Shopping
dunzo grocery,Food
kwality walls payment,Food
bus ticket,Transport
home loan payment,Bills
flipkart order payment,Shopping
pg charges,Bills
sabzi mandi,Food
dr lal pathlabs,Healthcare
income tax,Bills
hp laptop,Shopping
sabzi mandi payment,Food
reward points redeemed payment,Income
serum purchase,Shopping
uber moto,Transport
lipid profile,Healthcare
amoxicillin antibiotic payment,Healthcare
hp petrol pump payment,Transport
air india payment,Transport
stock profit,Income
xbox gamepass,Entertainment
essel world,Entertainment
bluedart courier,Others
cinepolis,Entertainment
bungee jumping payment,Entertainment
emergency room payment,Healthcare
netflix monthly,Bills
zomato delivery payment,Food
bsnl recharge,Bills
betadine payment,Healthcare
petrol refill payment,Transport
swiggy food payment,Food
bedding purchase payment,Shopping
pressure cooker,Shopping
plumber charges payment,Others
starbucks coffee payment,Food
dermatologist visit,Healthcare
quick ride,Transport
fruits purchase,Food
ecg test payment,Healthcare
zee5 subscription,Bills
upwork payment,Income
multiplex ticket payment,Entertainment
ngo contribution payment,Others
bathroom items payment,Shopping
mxplayer pro payment,Bills
delhivery charges,Others
mall parking,Transport
cleartrip booking,Transport
zinc tablet,Healthcare
goibibo flight payment,Transport
laser tag,Entertainment
celebration dinner,Entertainment
antacid medicine,Healthcare
pathology lab payment,Healthcare
marks spencer,Shopping
hotstar premium payment,Bills
photography equipment,Entertainment
bluedart courier payment,Others
ola cab payment,Transport
speaker purchase,Shopping
makaan rent,Bills
deodorant,Shopping
hotel booking,Entertainment
north indian thali,Food
curtains buy,Shopping
pregnancy test payment,Healthcare
smartphone buy payment,Shopping
salad bar payment,Food
tour package payment,Entertainment
mixer grinder payment,Shopping
spectacles purchase,Healthcare
bharat gas booking payment,Bills
weekly salary payment,Income
ramyeon noodles payment,Food
gift money received payment,Income
led tv payment,Shopping
kurta buy payment,Shopping
health insurance,Healthcare
pocket money,Income
bedding purchase,Shopping
document courier,Others
macbook buy,Shopping
dmrc recharge payment,Transport
commission earned payment,Income
pollution certificate,Transport
zomato delivery,Food
swiggy delivery,Food
airfare booking payment,Transport
medical insurance premium,Healthcare
floaters sandals payment,Shopping
maid salary,Others
food court meal payment,Food
affiliate income payment,Income
subway sandwich payment,Food
paytm insider payment,Entertainment
snapdeal purchase payment,Shopping
baby shower gift payment,Others
airtel postpaid,Bills
education loan payment,Bills
acupuncture,Healthcare
yoga mat,Entertainment
local bus fare,Transport
burger king meal payment,Food
cng refill,Transport
ecg test,Healthcare
blue tokai coffee payment,Food
pad thai,Food
tyre change payment,Transport
biryani order payment,Food
nobroker rent,Bills
restaurant bill payment,Food
reliance fresh,Food
paytm mall,Shopping
drama performance payment,Entertainment
vada pav,Food
apple music,Bills
arcade games,Entertainment
third wave coffee payment,Food
project payment payment,Income
tooth extraction payment,Healthcare
shopclues order payment,Shopping
voot select,Bills
reimbursement payment,Income
sunscreen,Shopping
eye checkup payment,Healthcare
pilates studio payment,Healthcare
savlon dettol payment,Healthcare
imax experience payment,Entertainment
dividend received payment,Income
sonyliv premium payment,Bills
football game payment,Entertainment
paneer tikka,Food
hakka noodles,Food
professional tax,Bills
nuts almonds,Food
irctc booking,Transport
car insurance renewal payment,Transport
dentist visit payment,Healthcare
property rent received payment,Income
traffic fine payment,Others
cold coffee,Food
kitchen items,Shopping
instant noodles,Food
barista latte,Food
kurta buy,Shopping
tiffin service,Food
personal loan emi,Bills
costa coffee,Food
acne treatment payment,Healthcare
samsung phone,Shopping
marks spencer payment,Shopping
amazon order payment,Shopping
jio postpaid,Bills
cold coffee payment,Food
fruits purchase payment,Food
hair color payment,Shopping
lassi shop,Food
nightclub payment,Entertainment
pho vietnamese payment,Food
skin doctor payment,Healthcare
airtel recharge,Bills
wellness forever,Healthcare
ice cream parlor payment,Food
auto rickshaw,Transport
akasa air payment,Transport
cough syrup,Healthcare
vi recharge payment,Bills
gas station,Transport
momos street food payment,Food
hp laptop payment,Shopping
mosque donation payment,Others
korean bbq,Food
vitamin d tablet,Healthcare
crossword bookstore,Shopping
reimbursement,Income
airbnb booking,Entertainment
church offering payment,Others
vistara ticket,Transport
project payment,Income
painting charges,Others
vogo bike,Transport
rapido auto payment,Transport
salary received payment,Income
delhi metro payment,Transport
goair booking payment,Transport
dmart grocery payment,Food
nightclub,Entertainment
indane gas payment,Bills
auto rickshaw payment,Transport
insurance claim payment,Income
bookmyshow event,Entertainment
pav bhaji stall payment,Food
fried rice order,Food
gst payment,Bills
popeyes chicken payment,Food
kabaddi match,Entertainment
benadryl syrup,Healthcare
multivitamin daily payment,Healthcare
netflix subscription,Bills
pool table payment,Entertainment
vacation package,Entertainment
inox theater,Entertainment
pillow blanket,Shopping
tandoori chicken payment,Food
ramyeon noodles,Food
lic premium payment,Bills
chai tapri,Food
electral powder payment,Healthcare
pillow blanket payment,Shopping
bharat gas booking,Bills
carpenter work,Others
cash withdrawal,Others
vitamin b12,Healthcare
bescom bill,Bills
escape room payment,Entertainment
shirt purchase payment,Shopping
free fire diamonds payment,Entertainment
combiflam tablet,Healthcare
crypto profit payment,Income
woodland shoes,Shopping
home repair,Others
pho vietnamese,Food
annual health package payment,Healthcare
life insurance,Bills
mixer grinder,Shopping
led tv,Shopping
idli dosa restaurant,Food
irctc booking payment,Transport
laundry service payment,Others
bluesmart cab,Transport
uber auto payment,Transport
dairy products payment,Food
speed post payment,Others
fastag deduction payment,Transport
bigbasket order,Food
gaming zone,Entertainment
tuk tuk fare,Transport
tailor alterations payment,Others
swiggy instamart payment,Food
benadryl syrup payment,Healthcare
postpaid bill,Bills
cycle rickshaw payment,Transport
gold gym payment,Healthcare
vogo bike payment,Transport
moisturizer payment,Shopping
game dlc payment,Entertainment
sugar test payment,Healthcare
savings interest payment,Income
game dlc,Entertainment
bandage dressing,Healthcare
amazon prime payment,Bills
lawyer charges payment,Others
dairy products,Food
opd charges payment,Healthcare
government fees,Others
youtube premium payment,Bills
notary charges,Others
zee5 subscription payment,Bills
contact lens payment,Healthcare
sugarcane juice payment,Food
stitching charges payment,Others
prepaid recharge payment,Bills
heel purchase payment,Shopping
gift card payment,Shopping
croma electronics,Shopping
pantaloons purchase payment,Shopping
atm withdrawal payment,Others
swiggy delivery payment,Food
flipkart sale payment,Shopping
mahanagar gas payment,Bills
interest credited payment,Income
bike servicing payment,Transport
life insurance payment,Bills
urban ladder,Shopping
bharat petroleum payment,Transport
malabar gold payment,Shopping
tour package,Entertainment
adventure sports payment,Entertainment
city bus pass,Transport
international flight payment,Entertainment
fastag deduction,Transport
valorant points,Entertainment
reebok shoes,Shopping
bread eggs,Food
root canal payment,Healthcare
arcade games payment,Entertainment
paytm cashback,Income
skydiving payment,Entertainment
dog food,Others
iron supplement,Healthcare
cavity filling payment,Healthcare
dtdc courier,Others
ola cab,Transport
trekking trip payment,Entertainment
ola auto,Transport
stock dividend payment,Income
referral bonus,Income
restaurant bill,Food
naan roti payment,Food
birthday cake,Food
meesho order,Shopping
vacation package payment,Entertainment
saree purchase,Shopping
lpg cylinder payment,Bills
makemytrip hotel payment,Entertainment
thyroid test payment,Healthcare
lehenga shopping payment,Shopping
grocery shopping payment,Food
amusement park payment,Entertainment
tata cliq payment,Shopping
amoxicillin antibiotic,Healthcare
ikea purchase payment,Shopping
fortis hospital payment,Healthcare
salary received,Income
apollo hospital,Healthcare
temple donation,Others
puncture repair payment,Transport
bounce scooter,Transport
zomato order,Food
bike insurance,Transport
vijay sales,Shopping
certificate fees,Others
pharmeasy delivery payment,Healthcare
mutual fund dividend,Income
butter chicken payment,Food
niva bupa payment,Healthcare
expense claim,Income
notary charges payment,Others
loreal product payment,Shopping
juice shop,Food
honitus cough,Healthcare
nature basket payment,Food
deodorant payment,Shopping
cavity filling,Healthcare
jeans buy payment,Shopping
jio postpaid payment,Bills
chinese food,Food
birthday gift payment,Others
energy drink payment,Food
boat earbuds,Shopping
term insurance,Bills
montair tablet,Healthcare
tuk tuk fare payment,Transport
chole bhature payment,Food
professional tax payment,Bills
lulu hypermarket payment,Food
spicejet flight,Transport
art supplies payment,Shopping
indian oil,Transport
eid celebration payment,Others
pool table,Entertainment
clinic visit payment,Healthcare
bar bill,Entertainment
ajio fashion,Shopping
parking fee,Transport
specialist doctor payment,Healthcare
postal charges,Others
ev charging,Transport
omeprazole medicine payment,Healthcare
ice cream parlor,Food
taco bell,Food
medanta hospital,Healthcare
dry fruits payment,Food
nail polish,Shopping
gurudwara payment,Others
gurudwara,Others
amul ice cream payment,Food
baskin robbins payment,Food
bses payment,Bills
juice shop payment,Food
dentist visit,Healthcare
drinks party,Entertainment
club entry,Entertainment
doctor consultation payment,Healthcare
vada pav payment,Food
incentive payment,Income
metropolis lab payment,Healthcare
apartment rent,Bills
water charges payment,Bills
uniqlo shirt,Shopping
rapido auto,Transport
sonyliv premium,Bills
food court meal,Food
rasgulla order,Food
grocery shopping,Food
tennis match,Entertainment
uber auto,Transport
fitness equipment payment,Entertainment
milkshake payment,Food
cafe coffee day payment,Food
tikona broadband,Bills
maggi noodles,Food
starbucks coffee,Food
ct scan,Healthcare
laptop purchase,Shopping
gig payment,Income
general payment,Others
healthkart order payment,Healthcare
apollo pharmacy,Healthcare
nykaa beauty,Shopping
burger king meal,Food
boat earbuds payment,Shopping
pressure cooker payment,Shopping
chole bhature,Food
crocs purchase,Shopping
fd interest,Income
parking charges,Transport
apollo hospital payment,Healthcare
lifestyle store,Shopping
gpay reward,Income
scooter hire payment,Transport
spotify premium,Bills
netflix subscription payment,Bills
contest winning payment,Income
ors packet,Healthcare
metro card recharge,Transport
samosa chaat payment,Food
hair oil,Shopping
rapido bike,Transport
multivitamin daily,Healthcare
paracetamol tablet payment,Healthcare
protein powder payment,Healthcare
sugarcane juice,Food
pizza hut order,Food
amazon cashback,Income
kalyan jewellers,Shopping
fastag recharge payment,Transport
amazon books,Shopping
metro shoes payment,Shopping
anytime fitness payment,Healthcare
paneer tikka payment,Food
client payment,Income
dmrc recharge,Transport
pub night payment,Entertainment
puma sneakers,Shopping
skydiving,Entertainment
uclean laundry,Others
mumbai local,Transport
airbnb booking payment,Entertainment
mobile recharge,Bills
toll tax,Transport
lawyer charges,Others
chipotle bowl,Food
spotify premium payment,Bills
prize money,Income
gas bill,Bills
commission earned,Income
pocket money payment,Income
urban ladder payment,Shopping
skin care clinic payment,Healthcare
performance bonus,Income
act broadband,Bills
youtube premium,Bills
biscuits purchase payment,Food
nail polish payment,Shopping
electral powder,Healthcare
nike shoes,Shopping
drivezy rental payment,Transport
hp gas payment,Bills
flat rent payment,Bills
painting charges payment,Others
disney plus hotstar,Bills
zyrtec antihistamine payment,Healthcare
airport parking payment,Transport
cetirizine tablet,Healthcare
samosa chaat,Food
government fees payment,Others
rajasthan tour,Entertainment
opd charges,Healthcare
reliance digital payment,Shopping
nuts almonds payment,Food
goibibo stay payment,Entertainment
bcaa,Healthcare
wai wai noodles,Food
allegra medicine payment,Healthcare
crossfit gym payment,Healthcare
camera buy payment,Shopping
lipstick payment,Shopping
fitness tracker,Healthcare
pet accessories payment,Others
sushi bar payment,Food
pantaloons purchase,Shopping
holiday booking,Entertainment
pet accessories,Others
pg charges payment,Bills
clinic visit,Healthcare
steam games,Entertainment
uclean laundry payment,Others
gaming subscription,Entertainment
nintendo switch,Entertainment
zomato pro payment,Food
crocin medicine,Healthcare
railway reservation,Transport
hathway internet,Bills
sports equipment,Entertainment
passport fees,Others
act broadband payment,Bills
lifestyle store payment,Shopping
halwai sweets payment,Food
sugar cosmetics payment,Shopping
gaming subscription payment,Entertainment
local bus fare payment,Transport
gas station payment,Transport
license renewal,Others
narayana health payment,Healthcare
amazon gift payment,Shopping
loan emi,Bills
pan card fees payment,Others
flat rent payment payment,Bills
badminton tournament,Entertainment
dental checkup payment,Healthcare
kfc chicken,Food
bike servicing,Transport
fiverr earning payment,Income
fastag recharge,Transport
blood pressure medicine payment,Healthcare
netmeds order payment,Healthcare
canteen food payment,Food
sunscreen payment,Shopping
club entry payment,Entertainment
gift shopping payment,Shopping
festival expenses payment,Others
hakka noodles payment,Food
art supplies,Shopping
prepaid recharge,Bills
flipkart books,Shopping
monginis cake payment,Food
stock profit payment,Income
account fees,Others
ulip premium payment,Bills
diagnostic center,Healthcare
vodafone recharge payment,Bills
consulting fees,Income
chemist shop payment,Healthcare
lipid profile payment,Healthcare
advance tax payment,Bills
manipal hospital,Healthcare
hdfc ergo health payment,Healthcare
lottery prize payment,Income
car insurance,Bills
dmart grocery,Food
gaana subscription,Bills
myntra clothes,Shopping
bigbasket order payment,Food
water charges,Bills
care health insurance payment,Healthcare
toll tax payment,Transport
mumbai metro,Transport
water bill payment,Bills
iphone purchase payment,Shopping
tata cliq,Shopping
lehenga shopping,Shopping
blue tokai coffee,Food
rental income,Income
curtains buy payment,Shopping
bata shoes,Shopping
personal loan emi payment,Bills
swiggy food,Food
stationery shop payment,Shopping
equity profit payment,Income
mini bus payment,Transport
playstation store payment,Entertainment
relief fund payment,Others
zinc tablet payment,Healthcare
stationery shop,Shopping
wonderla ticket payment,Entertainment
bewakoof tshirt payment,Shopping
birthday gift,Others
goair booking,Transport
paytm cashback payment,Income
makemytrip flight payment,Transport
birthday cake payment,Food
echo test,Healthcare
tim hortons,Food
kerala trip payment,Entertainment
hotstar premium,Bills
ajio fashion payment,Shopping
medplus store,Healthcare
home decor payment,Shopping
bses payment payment,Bills
dolo 650 payment,Healthcare
aiims visit payment,Healthcare
petrol refill,Transport
pizza hut order payment,Food
airtel fiber,Bills
five guys burger payment,Food
face wash,Shopping
croma electronics payment,Shopping
insurance claim,Income
disprin tablet payment,Healthcare
lipstick,Shopping
spectacles purchase payment,Healthcare
society dues,Bills
cricket match,Entertainment
savaari cab payment,Transport
hill station trip payment,Entertainment
lic premium,Bills
drug store purchase payment,Healthcare
theobroma pastry,Food
ipad buy payment,Shopping
clothing store payment,Shopping
acupuncture payment,Healthcare
airtel fiber payment,Bills
ct scan payment,Healthcare
cat food payment,Others
dominos pizza payment,Food
spencers grocery payment,Food
trimmer buy payment,Shopping
cookware purchase,Shopping
electrician fees,Others
biscuits purchase,Food
visa fees travel payment,Entertainment
bathroom items,Shopping
eid celebration,Others
annual bonus payment,Income
health checkup,Healthcare
energy drink,Food
spicejet flight payment,Transport
hospital bill,Healthcare
rental income payment,Income
cleaning service payment,Others
swimming pool entry payment,Entertainment
medanta hospital payment,Healthcare
badminton tournament payment,Entertainment
1mg medicine,Healthcare
mithai shop payment,Food
dominos pizza,Food
amusement park,Entertainment
skin care clinic,Healthcare
jal board,Bills
sports equipment payment,Entertainment
jewelry store payment,Shopping
freelance project,Income
tablet purchase payment,Shopping
driving license,Others
train ticket payment,Transport
income tax payment,Bills
uber moto payment,Transport
subway sandwich,Food
vitamin b12 payment,Healthcare
festival expenses,Others
ola auto payment,Transport
chipotle bowl payment,Food
house rent payment,Bills
music festival payment,Entertainment
apollo pharmacy payment,Healthcare
unknown expense payment,Others
carpenter work payment,Others
jio fiber payment,Bills
legal fees,Others
electricity bill payment,Bills
prize money payment,Income
battlepass purchase,Entertainment
annual bonus,Income
charity donation payment,Others
advance tax,Bills
gulab jamun,Food
fitness band,Shopping
fitness equipment,Entertainment
paytm mall payment,Shopping
fiverr earning,Income
bata shoes payment,Shopping
serum purchase payment,Shopping
monginis cake,Food
parking challan payment,Others
max hospital payment,Healthcare
rajasthan tour payment,Entertainment
freelance project payment,Income
korean bbq payment,Food
metropolis lab,Healthcare
scholarship credited payment,Income
